pre_lon,pre_lat,pre_delta_time,post_delta_time,pre_sar_date,post_sar_date,pre_HV_db,post_HV_db,pre_agbd,post_agbd,sar_status,hansen_loss_min,hansen_loss_max,hansen_loss_mode,v2c_drop_reason,passes_v2c
-71.11623747444953,-8.393819715483076,49873448.518833,144817035.983559,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,289.172638,0.03482099995017052,no_match,,,,,False
-71.11542899069381,-8.385734877925998,49873448.473381,144817035.946371,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,240.211533,4.8859710693359375,no_match,,,,,False
-71.3054226732851,-8.124055635661975,49873443.316367,144817030.772829,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,410.642883,30.47064208984375,no_match,,,,,False
-71.16798043481481,-8.337764841754009,49873446.981673,144817034.438136,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,299.740082,407.856171,no_match,,,,,False
-71.16878891857051,-8.336956357998304,49873446.965145,144817034.421608,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,205.278061,227.043732,no_match,,,,,False
-71.38896599470822,-8.033235960437494,49873440.981676,144817028.42161,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-13.151117512835214,-12.526496471660508,144.033401,105.50555419921875,ok,21.0,21.0,21.0,,True
-71.19600787167934,-8.299227116065282,49873446.22133,144817033.677792,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,195.220718,277.191193,no_match,,,,,False
-71.37980317881019,-8.036739390045554,49873441.167616,144817028.60755,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-14.669598335351111,-13.62266729744502,127.329163,51.513889,ok,21.0,21.0,21.0,,True
-71.38465408134444,-8.03000202541466,49873441.035392,144817028.475326,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-13.158966711167949,-15.014187751063943,328.045929,0.5933899879455566,ok,14.0,22.0,22.0,edge,False
-71.36686743871887,-8.108963938888763,49873442.73371,143666514.554485,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,236.614471,107.015991,no_match,,,,,False
-71.10464920728438,-8.409719896011978,49873448.8329,144817036.297647,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,405.828217,22.06070899963379,no_match,,,,,False
-71.3903134676344,-8.031080003755605,49873440.940356,144817028.38029,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-12.91301996132411,-12.50339043038501,344.7611999511719,31.074073791503906,ok,21.0,21.0,21.0,,True
-71.17363982110477,-8.33021899336741,49873446.832901,144817034.289384,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,302.543213,0.0,no_match,,,,,False
-71.11650696903476,-8.393280726312597,49873448.510569,144817035.975295,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,267.088806,12.072147369384766,no_match,,,,,False
-71.16528548896245,-8.341537765947308,49873447.056049,144817034.512512,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,327.883514,358.148865,no_match,,,,,False
-71.1159679798643,-8.394089210068302,49873448.527097,144817035.991823,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,411.351318,43.178524017333984,no_match,,,,,False
-71.11623747444953,-8.384656899585053,49873448.456853,144817035.921579,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,339.314514,266.250488,no_match,,,,,False
-71.10734415313675,-8.405946971818679,49873448.758506,144817036.223259,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,133.607483,7.896155834197998,no_match,,,,,False
-71.17417881027524,-8.329410509611705,49873446.816369,144817034.272856,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,136.853989,176.762863,no_match,,,,,False
-71.10869162606292,-8.404330004307269,49873448.725442,144817036.190195,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,223.992172,0.0,no_match,,,,,False
-71.3151244783536,-8.110580906400187,49873443.051919,144817030.508381,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,138.876755,134.431763,no_match,,,,,False
-71.16393801603627,-8.318900220787498,49873447.159349,144817034.624076,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,135.388901,111.90238952636719,no_match,,,,,False
-71.3339890993201,-8.099801122990755,49873442.407272,144817029.85547,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,169.986481,2.2109360694885254,no_match,,,,,False
-71.11677646362,-8.393011231727357,49873448.502305,144817035.967031,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,172.163406,28.81281852722168,no_match,,,,,False
-71.36875390081552,-8.036739390045554,49873441.597344,144817029.045543,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-10.825899416947081,-13.272166049987447,140.037674,166.176758,ok,22.0,23.0,22.0,edge,False
-71.31781942420595,-8.106807982206888,49873442.977543,144817030.434005,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,75.558868,11.563209533691406,no_match,,,,,False
-71.17498729403094,-8.312971339912309,49873446.923825,144817034.388552,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,113.29339599609375,0.38909000158309937,no_match,,,,,False
-71.39139144597533,-8.03000202541466,49873440.915564,144817028.355498,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-12.833391518366426,-14.397099729781019,287.297119,5.403535842895508,ok,21.0,21.0,21.0,,True
-71.31566346752406,-8.109772422644483,49873443.035391,144817030.491853,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,331.845062,0.9934960007667542,no_match,,,,,False
-71.18846202329274,-8.367409246129952,48127889.957037,136232199.063992,2019-07-12 16:14:40.346000+00:00,2022-04-29 16:14:44.010000+00:00,,,215.113083,0.0,no_match,,,,,False
-71.26607646384066,-8.463888307644396,41923268.446025,132917388.154571,2019-04-29 16:28:35.867000+00:00,2022-03-14 16:28:40.361000+00:00,-9.865122187661143,-12.276636805699667,629.535278,139.364273,ok,19.0,21.0,21.0,edge,False
-71.01706346708274,-8.545545166970854,49873451.08084,144817038.545566,2019-07-30 16:01:25.426000+00:00,2022-07-26 16:01:29.630000+00:00,,,143.153305,44.08595275878906,no_match,,,,,False
-71.02029740210557,-8.54096375902185,49873450.989936,144817038.454662,2019-07-30 16:01:25.426000+00:00,2022-07-26 16:01:29.630000+00:00,,,187.524261,0.08494199812412262,no_match,,,,,False
-71.01490751040085,-8.548509607408448,49873451.138688,144817038.603414,2019-07-30 16:01:25.426000+00:00,2022-07-26 16:01:29.630000+00:00,,,186.528671,3.178558111190796,no_match,,,,,False
-71.01113458620755,-8.544467188629909,49873451.175876,144817038.640602,2019-07-30 16:01:25.426000+00:00,2022-07-26 16:01:29.630000+00:00,,,81.40185546875,0.1114410012960434,no_match,,,,,False
-71.01490751040085,-8.539346791510425,49873451.076708,144817038.541434,2019-07-30 16:01:25.426000+00:00,2022-07-26 16:01:29.630000+00:00,,,304.3679504394531,27.50885009765625,no_match,,,,,False
-71.01625498332703,-8.546892639897038,49873451.105632,144817038.570358,2019-07-30 16:01:25.426000+00:00,2022-07-26 16:01:29.630000+00:00,,,323.819580078125,0.4118120074272156,no_match,,,,,False
-71.00951761869612,-8.546892639897038,49873451.22546,144817038.690186,2019-07-30 16:01:25.426000+00:00,2022-07-26 16:01:29.630000+00:00,,,98.054039,137.824448,no_match,,,,,False
